slice_feature, value, precision, recall, fbeta
race, Black, 0.7272727272727273, 0.6153846153846154, 0.6666666666666667
race, Other, 1.0, 0.6666666666666666, 0.8
race, Asian-Pac-Islander, 0.7857142857142857, 0.7096774193548387, 0.7457627118644068
race, Amer-Indian-Eskimo, 0.625, 0.5, 0.5555555555555556
sex, Female, 0.7228915662650602, 0.5150214592274678, 0.6015037593984963
sex, Male, 0.7445193929173693, 0.6599402092675636, 0.6996830427892234
native-country, United-States, 0.73920130399348, 0.6320557491289198, 0.6814425244177311
native-country, Mexico, 1.0, 0.3333333333333333, 0.5
native-country, Puerto-Rico, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334
native-country, El-Salvador, 1.0, 1.0, 1.0
native-country, ?, 0.75, 0.6774193548387096, 0.7118644067796611
native-country, Columbia, 1.0, 1.0, 1.0
native-country, Poland, 0.6666666666666666, 1.0, 0.8
native-country, Cambodia, 1.0, 1.0, 1.0
native-country, Germany, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461
native-country, Philippines, 1.0, 0.6875, 0.8148148148148148
native-country, Canada, 0.6666666666666666, 0.75, 0.7058823529411765
native-country, Ecuador, 1.0, 0.5, 0.6666666666666666
native-country, Italy, 0.75, 0.75, 0.75
native-country, Cuba, 0.6666666666666666, 0.8, 0.7272727272727272
native-country, Iran, 0.3333333333333333, 0.2, 0.25
native-country, Jamaica, 0.0, 1.0, 0.0
native-country, Haiti, 1.0, 1.0, 1.0
native-country, South, 0.3333333333333333, 0.5, 0.4
native-country, Taiwan, 0.75, 0.75, 0.75
native-country, Dominican-Republic, 1.0, 1.0, 1.0
native-country, Ireland, 1.0, 1.0, 1.0
native-country, Japan, 0.75, 0.75, 0.75
native-country, Scotland, 1.0, 1.0, 1.0
native-country, India, 0.875, 0.875, 0.875
native-country, Trinadad&Tobago, 1.0, 1.0, 1.0
native-country, Hungary, 1.0, 0.5, 0.6666666666666666
native-country, England, 0.6666666666666666, 0.5, 0.5714285714285715
native-country, Laos, 1.0, 0.0, 0.0
native-country, Hong, 0.5, 1.0, 0.6666666666666666
native-country, Greece, 0.0, 0.0, 1.0
native-country, Portugal, 1.0, 1.0, 1.0
native-country, Guatemala, 1.0, 1.0, 1.0
native-country, China, 1.0, 1.0, 1.0
native-country, France, 1.0, 1.0, 1.0
native-country, Nicaragua, 1.0, 1.0, 1.0
native-country, Vietnam, 1.0, 1.0, 1.0
native-country, Thailand, 1.0, 1.0, 1.0
native-country, Peru, 0.0, 0.0, 1.0
native-country, Honduras, 1.0, 1.0, 1.0
native-country, Yugoslavia, 1.0, 1.0, 1.0
